City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,ta`u,-14.2336,-169.5144,27.7,81,51,5.26,AS,1699827287
328,akureyri,65.6835,-18.0878,-6.04,93,0,1.54,IS,1699827288
329,harper,4.375,-7.7169,26.03,88,33,3.52,LR,1699827288
330,polyarnyy,69.1989,33.4478,-8.6,96,91,4.26,RU,1699827288
331,plastun,44.7561,136.2939,-5.44,57,59,3.01,RU,1699827288
332,oyama,36.3,139.8,10.33,73,100,2.19,JP,1699827288
333,kajaani,64.2273,27.7285,-2.97,80,20,6.69,FI,1699827289
334,ishigaki,24.3448,124.1572,22.07,73,75,8.23,JP,1699827289
335,laguna,38.421,-121.4238,24.54,32,0,4.63,US,1699827289
336,tadine,-21.55,167.8833,23.11,61,98,9.04,NC,1699827289
337,geraldton,-28.7667,114.6,17.23,82,0,3.6,AU,1699827289
338,huazhou,21.6333,110.5833,17.98,83,99,4.39,CN,1699827289
339,tongliao,43.6125,122.2653,-8.44,85,5,4.08,CN,1699827289
340,machiques,10.0644,-72.545,27.8,88,100,2.99,VE,1699827290
341,berezovo,63.9381,65.0419,-6.81,80,4,3.86,RU,1699827290
342,chikwawa,-16.0335,34.8009,26.76,64,6,0.91,MW,1699827290
343,bulayevo,54.9056,70.4439,4.2,94,100,3.18,KZ,1699827290
344,san luis,-33.295,-66.3356,14.99,26,0,10.27,AR,1699827290
345,ambovombe,-25.1667,46.0833,21.97,63,0,1.59,MG,1699827291
346,tura,25.5198,90.2201,17.73,86,0,1.93,IN,1699827291
347,bayganin,48.6947,55.8742,2.71,81,38,4.38,KZ,1699827291
348,nizhneangarsk,55.7833,109.55,-6.67,76,85,0.45,RU,1699827291
349,lukolela,-1.0605,17.1821,21.62,98,94,0.89,CD,1699827291
350,lata,40.1629,-8.3327,17.67,97,79,1.86,PT,1699827291
351,vila velha,-20.3297,-40.2925,26.97,86,0,4.12,BR,1699827292
352,gaspe,48.8334,-64.4819,-1.05,80,100,3.6,CA,1699827242
353,el tigre,8.8875,-64.2454,28.28,63,97,4.79,VE,1699827292
354,taro,-8.3862,115.28,22.0,96,20,0.28,ID,1699827292
355,palmer,42.1584,-72.3287,3.23,64,18,1.12,US,1699827096
356,sinop,41.7711,34.8709,11.85,96,100,1.21,TR,1699827292
357,juan griego,11.0817,-63.9655,27.49,80,100,6.62,VE,1699827292
358,waingapu,-9.6567,120.2641,26.8,81,100,1.38,ID,1699827293
359,lapeer,43.0514,-83.3188,9.3,57,0,2.06,US,1699827293
360,robertsport,6.7533,-11.3686,27.25,82,77,4.08,LR,1699827293
361,st. john's,47.5649,-52.7093,0.54,90,100,4.63,CA,1699827186
